Title,Year,Rating
Game of Thrones,2011–2019,9.2
Breaking Bad,2008–2013,9.5
Stranger Things,2016–2024,8.7
The Walking Dead,2010–2022,8.1
Friends,1994–2004,8.9
Sherlock,2010–2017,9.1
The Big Bang Theory,2007–2019,8.2
Dexter,2006–2013,8.7
How I Met Your Mother,2005–2014,8.3
The Office,2005–2013,9
True Detective,2014–2019,8.9
Peaky Blinders,2013–2022,8.8
Black Mirror,2011–2019,8.8
Lost,2004–2010,8.3
Better Call Saul,2015–2022,8.9
Prison Break,2005–2017,8.3
Vikings,2013–2020,8.5
Rick and Morty,2013– ,9.1
The Boys,2019– ,8.7
The Mandalorian,2019– ,8.7
Westworld,2016–2022,8.5
The Witcher,2019– ,8.1
House of Cards,2013–2018,8.7
Money Heist,2017–2021,8.2
House,2004–2012,8.7
Squid Game,2021– ,8
Supernatural,2005–2020,8.4
Daredevil,2015–2018,8.6
Modern Family,2009–2020,8.5
Arrow,2012–2020,7.5
Narcos,2015–2017,8.8
Suits,2011–2019,8.5
The Sopranos,1999–2007,9.2
The Simpsons,1989– ,8.7
Mr. Robot,2015–2019,8.5
South Park,1997– ,8.7
Fargo,2014– ,8.9
The Flash,2014–2023,7.5
The Wire,2002–2008,9.3
Family Guy,1999– ,8.2
Homeland,2011–2020,8.3
Lucifer,2016–2021,8.1
Loki,2021– ,8.2
The Vampire Diaries,2009–2017,7.7
The Last of Us,2023– ,9
Seinfeld,1989–1998,8.9
Brooklyn Nine-Nine,2013–2021,8.4
Avatar: The Last Airbender,2005–2008,9.3
American Horror Story,2011– ,8
The Lord of the Rings: The Rings of Power,2022– ,6.9
Ozark,2017–2022,8.5
House of the Dragon,2022– ,8.5
Grey's Anatomy,2005– ,7.6
Arrested Development,2003–2019,8.7
Orange Is the New Black,2013–2019,8.1
Sons of Anarchy,2008–2014,8.6
Mindhunter,2017–2019,8.6
13 Reasons Why,2017–2020,7.5
Wednesday,2022– ,8.1
Sex Education,2019– ,8.3
Community,2009–2015,8.5
Firefly,2002–2003,9
Two and a Half Men,2003–2015,7.1
You,2018– ,7.7
Parks and Recreation,2009–2015,8.6
Scrubs,2001–2010,8.4
Hannibal,2013–2015,8.5
The 100,2014–2020,7.6
The Blacklist,2013–2023,8
The Umbrella Academy,2019–2023,7.9
True Blood,2008–2014,7.9
Shameless,2011–2021,8.6
Fringe,2008–2013,8.4
Spartacus,2010–2013,8.5
Heroes,II) (2006–2010,7.5
The Handmaid's Tale,2017– ,8.4
Mad Men,2007–2015,8.7
The Punisher,2017–2019,8.5
Futurama,1999–2023,8.5
