Title,Rating,Votes,Stars,Genres,Start_Year,End_Year
Game of Thrones,9.2,2141065,"['Peter Dinklage', 'Kit Harington', 'Lena Headey']","['Action', 'Adventure', 'Drama']",2011,2019
Breaking Bad,9.5,1945469,"['Aaron Paul', 'Anna Gunn', 'Betsy Brandt']","['Crime', 'Drama', 'Thriller']",2008,2013
Stranger Things,8.7,1225425,"['Finn Wolfhard', 'Winona Ryder', 'David Harbour']","['Drama', 'Fantasy', 'Horror']",2016,2024
The Walking Dead,8.1,1016458,"['Norman Reedus', 'Melissa McBride', 'Lauren Cohan']","['Drama', 'Horror', 'Thriller']",2010,2022
Friends,8.9,1015775,"['Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']","['Comedy', 'Romance']",1994,2004
Sherlock,9.1,942260,"['Martin Freeman', 'Una Stubbs', 'Rupert Graves']","['Crime', 'Drama', 'Mystery']",2010,2017
The Big Bang Theory,8.2,822355,"['Jim Parsons', 'Kaley Cuoco', 'Simon Helberg']","['Comedy', 'Romance']",2007,2019
Dexter,8.7,734340,"['Jennifer Carpenter', 'David Zayas', 'James Remar']","['Crime', 'Drama', 'Mystery']",2006,2013
How I Met Your Mother,8.3,695209,"['Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris']","['Comedy', 'Romance']",2005,2014
The Office,9.0,626557,"['Jenna Fischer', 'John Krasinski', 'Rainn Wilson']",['Comedy'],2005,2013
True Detective,8.9,585851,"['Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']","['Crime', 'Drama', 'Mystery']",2014,2019
Peaky Blinders,8.8,570750,"['Paul Anderson', 'Sophie Rundle', 'Helen McCrory']","['Crime', 'Drama']",2013,2022
Black Mirror,8.8,562921,"['Hannah John-Kamen', 'Michaela Coel', 'Beatrice Robertson-Jones']","['Drama', 'Mystery', 'Sci-Fi']",2011,2019
Lost,8.3,562787,"['Josh Holloway', 'Yunjin Kim', 'Evangeline Lilly']","['Adventure', 'Drama', 'Fantasy']",2004,2010
Better Call Saul,8.9,558461,"['Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']","['Crime', 'Drama']",2015,2022
Prison Break,8.3,546537,"['Wentworth Miller', 'Amaury Nolasco', 'Robert Knepper']","['Action', 'Crime', 'Drama']",2005,2017
Vikings,8.5,545744,"['Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']","['Action', 'Adventure', 'Drama']",2013,2020
Rick and Morty,9.1,542986,"['Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']","['Animation', 'Adventure', 'Comedy']",2013,2023
The Boys,8.7,537251,"['Jack Quaid', 'Antony Starr', 'Erin Moriarty']","['Action', 'Comedy', 'Crime']",2019,2023
The Mandalorian,8.7,516513,"['Carl Weathers', 'Chris Bartlett', 'Leilani Shiu']","['Action', 'Adventure', 'Fantasy']",2019,2023
Westworld,8.5,512624,"['Jeffrey Wright', 'Ed Harris', 'Thandiwe Newton']","['Drama', 'Mystery', 'Sci-Fi']",2016,2022
The Witcher,8.1,511879,"['Freya Allan', 'Anya Chalotra', 'Mimi Ndiweni']","['Action', 'Adventure', 'Drama']",2019,2023
House of Cards,8.7,511108,"['Michel Gill', 'Robin Wright', 'Kate Mara']",['Drama'],2013,2018
Money Heist,8.2,489811,"['Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']","['Action', 'Crime', 'Drama']",2017,2021
House,8.7,473998,"['Omar Epps', 'Robert Sean Leonard', 'Jesse Spencer']","['Drama', 'Mystery']",2004,2012
Squid Game,8.0,466012,"['Park Hae-soo', 'Hoyeon', 'Oh Yeong-su']","['Action', 'Drama', 'Mystery']",2021,2023
Supernatural,8.4,454446,"['Jensen Ackles', 'Jim Beaver', 'Misha Collins']","['Drama', 'Fantasy', 'Horror']",2005,2020
Daredevil,8.6,448979,"[""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']","['Action', 'Crime', 'Drama']",2015,2018
Modern Family,8.5,442723,"['Sofía Vergara', 'Julie Bowen', 'Ty Burrell']","['Comedy', 'Drama', 'Romance']",2009,2020
Arrow,7.5,435674,"['Katie Cassidy', 'David Ramsey', 'Susanna Thompson']","['Action', 'Adventure', 'Crime']",2012,2020
Narcos,8.8,434616,"['Wagner Moura', 'Boyd Holbrook', 'Alberto Ammann']","['Biography', 'Crime', 'Drama']",2015,2017
Suits,8.5,420005,"['Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty']","['Comedy', 'Drama']",2011,2019
The Sopranos,9.2,415064,"['Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']","['Crime', 'Drama']",1999,2007
The Simpsons,8.7,414304,"['Nancy Cartwright', 'Harry Shearer', 'Julie Kavner']","['Animation', 'Comedy']",1989,2023
Mr. Robot,8.5,394999,"['Christian Slater', 'Carly Chaikin', 'Martin Wallström']","['Crime', 'Drama', 'Thriller']",2015,2019
South Park,8.7,380746,"['Matt Stone', 'Isaac Hayes', 'Mona Marshall']","['Animation', 'Comedy']",1997,2023
Fargo,8.9,380063,"['Martin Freeman', 'Allison Tolman', 'Colin Hanks']","['Crime', 'Drama', 'Thriller']",2014,2023
The Flash,7.5,352662,"['Candice Patton', 'Danielle Panabaker', 'Carlos Valdes']","['Action', 'Adventure', 'Drama']",2014,2023
The Wire,9.3,348023,"['Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']","['Crime', 'Drama', 'Thriller']",2002,2008
Family Guy,8.2,347503,"['Alex Borstein', 'Seth Green', 'Mila Kunis']","['Animation', 'Comedy']",1999,2023
Homeland,8.3,346963,"['Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']","['Crime', 'Drama', 'Mystery']",2011,2020
The Last of Us,8.9,333762,"['Bella Ramsey', 'Anna Torv', 'Lamar Johnson']","['Action', 'Adventure', 'Drama']",2023,2023
Lucifer,8.1,332320,"['Lauren German', 'Kevin Alejandro', 'D.B. Woodside']","['Crime', 'Drama', 'Fantasy']",2016,2021
Loki,8.2,331990,"['Owen Wilson', 'Eugene Cordero', 'Gugu Mbatha-Raw']","['Action', 'Adventure', 'Fantasy']",2021,2023
The Vampire Diaries,7.7,328379,"['Paul Wesley', 'Ian Somerhalder', 'Kat Graham']","['Drama', 'Fantasy', 'Horror']",2009,2017
Seinfeld,8.9,327527,"['Julia Louis-Dreyfus', 'Michael Richards', 'Jason Alexander']",['Comedy'],1989,1998
Brooklyn Nine-Nine,8.4,327182,"['Stephanie Beatriz', 'Terry Crews', 'Melissa Fumero']","['Comedy', 'Crime']",2013,2021
Avatar: The Last Airbender,9.3,325672,"['Zach Tyler Eisen', 'Mae Whitman', 'Jack De Sena']","['Animation', 'Action', 'Adventure']",2005,2008
The Lord of the Rings: The Rings of Power,6.9,324921,"['Ismael Cruz Cordova', 'Charlie Vickers', 'Markella Kavenagh']","['Action', 'Adventure', 'Drama']",2022,2023
American Horror Story,8.0,324915,"['Kathy Bates', 'Angela Bassett', 'Sarah Paulson']","['Drama', 'Horror', 'Sci-Fi']",2011,2023
Ozark,8.5,323489,"['Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']","['Crime', 'Drama', 'Thriller']",2017,2022
House of the Dragon,8.5,318719,"['Graham McTavish', 'Eve Best', 'Steve Toussaint']","['Action', 'Adventure', 'Drama']",2022,2023
Grey's Anatomy,7.6,317339,"['Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']","['Drama', 'Romance']",2005,2023
Arrested Development,8.7,310233,"['Michael Cera', 'Portia de Rossi', 'Will Arnett']",['Comedy'],2003,2019
Orange Is the New Black,8.1,307427,"['Danielle Brooks', 'Taryn Manning', 'Emma Myles']","['Comedy', 'Crime', 'Drama']",2013,2019
Sons of Anarchy,8.6,303930,"['Katey Sagal', 'Mark Boone Junior', 'Kim Coates']","['Crime', 'Drama', 'Thriller']",2008,2014
Mindhunter,8.6,300096,"['Holt McCallany', 'Anna Torv', 'Hannah Gross']","['Crime', 'Drama', 'Mystery']",2017,2019
