Title,Year,Rating,Votes,Stars
Game of Thrones,2011–2019,9.2,2140341,"['Peter Dinklage', 'Kit Harington', 'Lena Headey']"
Breaking Bad,2008–2013,9.5,1944497,"['Aaron Paul', 'Anna Gunn', 'Betsy Brandt']"
Stranger Things,2016–2024,8.7,1224826,"['Finn Wolfhard', 'Winona Ryder', 'David Harbour']"
The Walking Dead,2010–2022,8.1,1016107,"['Norman Reedus', 'Melissa McBride', 'Lauren Cohan']"
Friends,1994–2004,8.9,1015472,"['Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']"
Sherlock,2010–2017,9.1,941978,"['Martin Freeman', 'Una Stubbs', 'Rupert Graves']"
The Big Bang Theory,2007–2019,8.2,822159,"['Jim Parsons', 'Kaley Cuoco', 'Simon Helberg']"
Dexter,2006–2013,8.7,734175,"['Jennifer Carpenter', 'David Zayas', 'James Remar']"
How I Met Your Mother,2005–2014,8.3,695037,"['Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris']"
The Office,2005–2013,9,626113,"['Jenna Fischer', 'John Krasinski', 'Rainn Wilson']"
True Detective,2014–2019,8.9,585608,"['Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']"
Peaky Blinders,2013–2022,8.8,570414,"['Paul Anderson', 'Sophie Rundle', 'Helen McCrory']"
Black Mirror,2011–2019,8.8,562622,"['Hannah John-Kamen', 'Michaela Coel', 'Beatrice Robertson-Jones']"
Lost,2004–2010,8.3,562618,"['Josh Holloway', 'Yunjin Kim', 'Evangeline Lilly']"
Better Call Saul,2015–2022,8.9,557984,"['Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']"
Prison Break,2005–2017,8.3,546388,"['Wentworth Miller', 'Amaury Nolasco', 'Robert Knepper']"
Vikings,2013–2020,8.5,545566,"['Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']"
Rick and Morty,2013– ,9.1,542693,"['Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']"
The Boys,2019– ,8.7,536736,"['Jack Quaid', 'Antony Starr', 'Erin Moriarty']"
The Mandalorian,2019– ,8.7,515212,"['Carl Weathers', 'Chris Bartlett', 'Leilani Shiu']"
Westworld,2016–2022,8.5,512512,"['Jeffrey Wright', 'Ed Harris', 'Thandiwe Newton']"
The Witcher,2019– ,8.1,511678,"['Freya Allan', 'Anya Chalotra', 'Mimi Ndiweni']"
House of Cards,2013–2018,8.7,510989,"['Michel Gill', 'Robin Wright', 'Kate Mara']"
Money Heist,2017–2021,8.2,489617,"['Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']"
House,2004–2012,8.7,473864,"['Omar Epps', 'Robert Sean Leonard', 'Jesse Spencer']"
Squid Game,2021– ,8,465672,"['Park Hae-soo', 'Hoyeon', 'Oh Yeong-su']"
Supernatural,2005–2020,8.4,454278,"['Jensen Ackles', 'Jim Beaver', 'Misha Collins']"
Daredevil,2015–2018,8.6,448845,"[""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']"
Modern Family,2009–2020,8.5,442482,"['Sofía Vergara', 'Julie Bowen', 'Ty Burrell']"
Arrow,2012–2020,7.5,435610,"['Katie Cassidy', 'David Ramsey', 'Susanna Thompson']"
Narcos,2015–2017,8.8,434308,"['Wagner Moura', 'Boyd Holbrook', 'Alberto Ammann']"
Suits,2011–2019,8.5,419831,"['Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty']"
The Sopranos,1999–2007,9.2,414811,"['Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']"
The Simpsons,1989– ,8.7,414184,"['Nancy Cartwright', 'Harry Shearer', 'Julie Kavner']"
Mr. Robot,2015–2019,8.5,394868,"['Christian Slater', 'Carly Chaikin', 'Martin Wallström']"
South Park,1997– ,8.7,380413,"['Matt Stone', 'Isaac Hayes', 'Mona Marshall']"
Fargo,2014– ,8.9,379943,"['Martin Freeman', 'Allison Tolman', 'Colin Hanks']"
The Flash,2014–2023,7.5,352523,"['Candice Patton', 'Danielle Panabaker', 'Carlos Valdes']"
The Wire,2002–2008,9.3,347850,"['Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']"
